company,Open,High,Low,Volume,Turnover,LTP
ASIANPAINT,3101,3167.35,3091,10.29,322.53,3138
AXISBANK,669,674.9,660.45,102.53,684,661
BAJAJ-AUTO,3370,3383.5,3320,3.42,114.59,3335
BPCL,397.15,397.2,375,100.23,383.54,377.4
CIPLA,892,976.05,890.65,144.59,1380.9,965
HDFC,2820.35,2856,2723,33.53,927.88,2745
ICICIBANK,739,742.05,718.6,189.88,1385.86,720.45
INFY,1702.55,1718.35,1684,44.94,764.67,1689.55
ONGC,152.25,152.25,146.25,231.36,344.33,147.75
POWERGRID,204.05,204.95,200.8,96.11,195.09,202.5
RELIANCE,2467.8,2477.6,2401.5,72.75,1770.19,2405.1
TATAMOTORS,486,486.75,458,517.88,2430.36,459.4
TCS,3425,3490,3411.9,19.41,670.58,3439.2
TITAN,2377.8,2385.1,2285.05,12.89,298.54,2293
WIPRO,632,634.4,619.65,41.39,259.37,621.3
